resource_id,resource_type,name,category_tags,district,address,latitude,longitude,coordinate_system,duration_minutes,weather_sensitive,avg_price_yuan,price_kind,max_party_size,children_allowed,child_age_min,child_age_max,booking_required,reservation_required,open_mon,open_tue,open_wed,open_thu,open_fri,open_sat,open_sun,source_name,source_uri,source_license,collected_at,last_verified_at,verification_status,image_url,image_source_uri,image_author,image_license,image_license_uri,image_attribution,notes
osm-way-24476204,activity,日坛公园,公园|户外,朝阳区,日坛北路6号,39.9141594,116.4375986,WGS84,90,true,0,estimated,,,,,false,false,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/24476204,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-33607759,activity,龙潭公园,公园|户外,东城区,,39.8766087,116.4337760,WGS84,90,true,0,estimated,,,,,false,false,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/33607759,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-relation-19108749,activity,永定门公园,公园|户外,东城区,永定门内大街156号,39.8733961,116.3928043,WGS84,90,true,0,estimated,,,,,false,false,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,OpenStreetMap contributors,https://www.openstreetmap.org/relation/19108749,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-269693885,activity,北京古观象台,历史景点|室内外,东城区,,39.9061804,116.4283525,WGS84,90,true,20,estimated,,,,,false,false,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/269693885,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-relation-7301352,activity,鼓楼,历史景点|室内外,东城区,,39.9393499,116.3897278,WGS84,60,true,20,estimated,,,,,false,false,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/relation/7301352,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-relation-7301355,activity,钟楼,历史景点|室内外,东城区,,39.9410217,116.3896450,WGS84,60,true,10,estimated,,,,,false,false,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/relation/7301355,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-4454306990,activity,荣宝斋,文化空间|室内,西城区,琉璃厂西街19-6号,39.8941073,116.3768841,WGS84,60,false,0,estimated,,,,,false,false,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,OpenStreetMap contributors,https://www.openstreetmap.org/node/4454306990,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-29228773,activity,颐和园,园林|户外,海淀区,新建宫门路19号,39.9901784,116.2659253,WGS84,180,true,30,estimated,,,,,false,false,06:30-18:00,06:30-18:00,06:30-18:00,06:30-18:00,06:30-18:00,06:30-18:00,06:30-18:00,OpenStreetMap contributors,https://www.openstreetmap.org/way/29228773,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-way-24827108,activity,圆明园遗址公园,遗址公园|户外,海淀区,清华西路28号,40.0050811,116.2971533,WGS84,150,true,25,estimated,,,,,false,false,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,OpenStreetMap contributors,https://www.openstreetmap.org/way/24827108,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
osm-node-8731169491,activity,筑中美术馆,美术馆|室内,海淀区,,39.9462425,116.2192719,WGS84,90,false,0,estimated,,,,,false,false,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,OpenStreetMap contributors,https://www.openstreetmap.org/node/8731169491,ODbL-1.0,2026-08-23T09:00:00+08:00,,unverified,,,,,,,营业时间和价格未经项目方现场核验
